date,cases_total,Cu_hfmd,Rainyseason,schoolvac
2014-01-01,0,0,0,0
2014-01-04,1240.8799,1240.8799,0,0
2014-01-11,1132.9773,2373.8572,0,0
2014-01-18,485.5617,2859.4189,0,0
2014-01-25,539.513,3398.9319,0,0
2014-02-01,495.1842,3894.1161,0,0
2014-02-08,433.286175,4327.402275,0,0
2014-02-15,371.38815,4698.790425,0,0
2014-02-22,495.1842,5193.974625,0,0
2014-03-01,461.5716,5655.546225,0,0
2014-03-08,461.5716,6117.117825,0,0
2014-03-15,750.05385,6867.171675,0,0
2014-03-22,634.66095,7501.832625,0,0
2014-03-29,807.7503,8309.582925,0,0
2014-04-05,1246.405125,9555.98805,0,0
2014-04-12,1246.405125,10802.39318,0,0
2014-04-19,2314.752375,13117.14555,0,0
2014-04-26,2908.278625,16025.42418,0,0
2014-05-03,4087.245,20112.66918,0,0
2014-05-10,4959.1906,25071.85978,0,0
2014-05-17,7357.041,32428.90078,0,0
2014-05-24,10136.3676,42565.26838,0,0
2014-05-31,12588.7146,55153.98298,0,0
2014-06-07,13457.1186,68611.10158,0,0
2014-06-14,15917.022,84528.12358,1,0
2014-06-21,17122.857,101650.9806,1,0
2014-06-28,16351.1226,118002.1032,1,0
2014-07-05,16209.1601,134211.2633,1,0
2014-07-12,13524.2072,147735.4705,1,1
2014-07-19,12082.28805,159817.7585,1,1
2014-07-26,9944.27,169762.0285,1,1
2014-08-02,7010.02995,176772.0585,1,1
2014-08-09,5143.723275,181915.7818,0,1
2014-08-16,4506.447825,186422.2296,0,1
2014-08-23,3778.133025,190200.3626,0,1
2014-08-30,3596.054325,193796.4169,0,0
2014-09-06,3796.99425,197593.4112,0,0
2014-09-13,3417.294825,201010.706,0,0
2014-09-20,2657.895975,203668.602,0,0
2014-09-27,2657.895975,206326.498,0,0
2014-10-04,2621.70905,208948.207,0,0
2014-10-11,2336.740675,211284.9477,0,0
2014-10-18,2108.765975,213393.7137,0,0
2014-10-25,1766.803925,215160.5176,0,0
2014-11-01,2124.0485,217284.5661,0,0
2014-11-08,2002.6743,219287.2404,0,0
2014-11-15,1335.1162,220622.3566,0,0
2014-11-22,1274.4291,221896.7857,0,0
2014-11-29,1213.742,223110.5277,0,0
2014-12-06,1093.9005,224204.4282,0,0
2014-12-13,729.267,224933.6952,0,0
2014-12-20,668.49475,225602.1899,0,0
2014-12-27,668.49475,226270.6847,0,0
