date,cases_total,Cu_hfmd,Rainyseason,schoolvac,intervention
2015-04-25,2191.764,13446.5761,0,0,0
2015-05-02,3162.2055,16608.7816,0,0,0
2015-05-09,3267.61235,19876.39395,0,0,0
2015-05-16,4848.7151,24725.10905,0,0,0
2015-05-23,6113.5973,30838.70635,0,0,1
2015-05-30,6956.8521,37795.55845,0,0,1
2015-06-06,5319.992925,43115.55138,0,0,1
2015-06-13,4541.457375,47657.00875,0,0,1
2015-06-20,3287.1501,50944.15885,1,0,1
2015-06-27,3806.1738,54750.33265,1,0,1
2015-07-04,3893.5826,58643.91525,1,0,1
2015-07-11,3343.40245,61987.3177,1,1,1
2015-07-18,3555.0102,65542.3279,1,1,1
2015-07-25,3639.6533,69181.9812,1,1,1
2015-08-01,4008.1835,73190.1647,1,1,0
2015-08-08,3961.0284,77151.1931,0,1,0
2015-08-15,3017.9264,80169.1195,0,1,0
2015-08-22,3112.2366,83281.3561,0,1,0
2015-08-29,2829.306,86110.6621,0,0,0
2015-09-05,3594.06405,89704.72615,0,0,0
2015-09-12,2956.407525,92661.13368,0,0,0
2015-09-19,2434.68855,95095.82223,0,0,0
2015-09-26,2376.719775,97472.542,0,0,0
2015-10-03,2355.50385,99828.04585,0,0,0
