date,cases_total_pt_w,Cu_hfmd,Rainyseason,schoolvac,intervention
2015-01-03,620.8542,620.8542,0,0,0
2015-01-10,569.11635,1189.97055,0,0,0
2015-01-17,620.8542,1810.82475,0,0,0
2015-01-24,362.16495,2172.9897,0,0,0
2015-01-31,436.6704,2609.6601,0,0,0
2015-02-07,436.6704,3046.3305,0,0,0
2015-02-14,436.6704,3483.0009,0,0,0
2015-02-21,436.6704,3919.6713,0,0,0
2015-02-28,412.6892,4332.3605,0,0,0
2015-03-07,589.556,4921.9165,0,0,0
2015-03-14,648.5116,5570.4281,0,0,0
2015-03-21,766.4228,6336.8509,0,0,0
2015-03-28,707.4672,7044.3181,0,0,0
2015-04-04,1038.204,8082.5221,0,0,0
2015-04-11,1441.95,9524.4721,0,0,0
2015-04-18,1730.34,11254.8121,0,0,0
2015-04-25,2191.764,13446.5761,0,0,0
2015-05-02,3162.2055,16608.7816,0,0,0
2015-05-09,3267.61235,19876.39395,0,0,0
2015-05-16,4848.7151,24725.10905,0,0,0
2015-05-23,6113.5973,30838.70635,0,0,1
2015-05-30,6956.8521,37795.55845,0,0,1
2015-06-06,5319.992925,43115.55138,0,0,1
2015-06-13,4541.457375,47657.00875,0,0,1
2015-06-20,3287.1501,50944.15885,1,0,1
2015-06-27,3806.1738,54750.33265,1,0,1
2015-07-04,3893.5826,58643.91525,1,0,1
2015-07-11,3343.40245,61987.3177,1,1,1
2015-07-18,3555.0102,65542.3279,1,1,1
2015-07-25,3639.6533,69181.9812,1,1,1
2015-08-01,4008.1835,73190.1647,1,1,0
2015-08-08,3961.0284,77151.1931,0,1,0
2015-08-15,3017.9264,80169.1195,0,1,0
2015-08-22,3112.2366,83281.3561,0,1,0
2015-08-29,2829.306,86110.6621,0,0,0
2015-09-05,3594.06405,89704.72615,0,0,0
2015-09-12,2956.407525,92661.13368,0,0,0
2015-09-19,2434.68855,95095.82223,0,0,0
2015-09-26,2376.719775,97472.542,0,0,0
2015-10-03,2355.50385,99828.04585,0,0,0
2015-10-10,1682.50275,101510.5486,0,0,0
2015-10-17,1682.50275,103193.0514,0,0,0
2015-10-24,1570.3359,104763.3873,0,0,0
2015-10-31,1869.43645,106632.8237,0,0,0
2015-11-07,1704.486175,108337.3099,0,0,0
2015-11-14,2034.386725,110371.6966,0,0,0
2015-11-21,2144.353575,112516.0502,0,0,0
2015-11-28,824.751375,113340.8016,0,0,0
2015-12-05,1530.030625,114870.8322,0,0,0
2015-12-12,1652.433075,116523.2653,0,0,0
2015-12-19,1530.030625,118053.2959,0,0,0
2015-12-26,1224.0245,119277.3204,0,0,0
