date,cases_total_pt_w,Cu_hfmd,Rainyseason,schoolvac
2017-01-07,294.82215,294.82215,0,0
2017-01-14,294.82215,589.6443,0,0
2017-01-21,294.82215,884.46645,0,0
2017-01-28,196.5481,1081.01455,0,0
2017-02-04,187.7289,1268.74345,0,0
2017-02-11,281.59335,1550.3368,0,0
2017-02-18,328.525575,1878.862375,0,0
2017-02-25,187.7289,2066.591275,0,0
2017-03-04,281.012625,2347.6039,0,0
2017-03-11,281.012625,2628.616525,0,0
2017-03-18,224.8101,2853.426625,0,0
2017-03-25,168.607575,3022.0342,0,0
2017-04-01,224.8101,3246.8443,0,0
2017-04-08,454.2262,3701.0705,0,0
2017-04-15,283.891375,3984.961875,0,0
2017-04-22,340.66965,4325.631525,0,0
2017-04-29,397.447925,4723.07945,0,0
2017-05-06,722.35555,5445.435,0,0
2017-05-13,928.74285,6374.17785,0,0
2017-05-20,1496.307925,7870.485775,0,0
2017-05-27,2012.276175,9882.76195,0,0
2017-06-03,2889.4222,12772.18415,0,0
2017-06-10,3196.6176,15968.80175,0,0
2017-06-17,4940.2272,20909.02895,0,0
2017-06-24,6538.536,27447.56495,1,0
2017-07-01,7700.9424,35148.50735,1,0
2017-07-08,9535.7925,44684.29985,1,0
2017-07-15,11198.4435,55882.74335,1,1
2017-07-22,13839.1245,69721.86785,1,1
2017-07-29,12567.6855,82289.55335,1,1
2017-08-05,7850.757675,90140.31103,0,1
2017-08-12,7897.7682,98038.07923,0,1
2017-08-19,7897.7682,105935.8474,0,1
2017-08-26,7192.610325,113128.4578,0,0
2017-09-02,6158.378775,119286.8365,0,0
2017-09-09,5617.638025,124904.4746,0,0
2017-09-16,4744.995225,129649.4698,0,0
2017-09-23,4363.214,134012.6838,0,0
2017-09-30,3545.111375,137557.7952,0,0
2017-10-07,2845.065225,140402.8604,0,0
2017-10-14,1597.2296,142000.09,0,0
2017-10-21,1547.316175,143547.4062,0,0
2017-10-28,1197.9222,144745.3284,0,0
2017-11-04,1215.735675,145961.064,0,0
2017-11-11,1042.05915,147003.1232,0,0
2017-11-18,984.166975,147987.2902,0,0
2017-11-25,868.382625,148855.6728,0,0
2017-12-02,521.029575,149376.7024,0,0
2017-12-09,525.8736,149902.576,0,0
2017-12-16,328.671,150231.247,0,0
2017-12-23,328.671,150559.918,0,0
2017-12-30,262.9368,150822.8548,0,0
